P010129432701	2019.05.06-11:42
P010129440501	2019.05.06-11:54
P010129438501	2019.05.06-12:08
P010129436701	2019.05.06-12:21
P010129432801	2019.05.06-12:24
P010129440601	2019.05.06-12:36
P010129434901	2019.05.06-12:49
P010129436801	2019.05.06-13:03
P010129440701	2019.05.06-13:10
P010129435001	2019.05.06-13:29
P010129440801	2019.05.06-13:44
P010129436901	2019.05.06-13:46
P010129435101	2019.05.06-14:00
P010129442101	2019.05.06-14:04
P010129437001	2019.05.06-14:26
P010129440901	2019.05.06-14:27
P010129435201	2019.05.06-14:33
P010129433301	2019.05.06-14:43
P010129442201	2019.05.06-14:44
P010129433401	2019.05.06-14:49
P010129437101	2019.05.06-15:02
P010129433501	2019.05.06-15:10
P010129435301	2019.05.06-15:12
P010129442301	2019.05.06-15:20
P010129444201	2019.05.06-15:21
P010129433601	2019.05.06-15:36
P010129437201	2019.05.06-15:39
P010129435401	2019.05.06-15:54
P010129442401	2019.05.06-15:59
P010129444301	2019.05.06-16:11
P010129446301	2019.05.06-16:14
P010129437301	2019.05.06-16:20
P010129439301	2019.05.06-16:21
P010129448401	2019.05.06-16:31
P010129450501	2019.05.06-16:38
P010129442501	2019.05.06-16:39
P010129435501	2019.05.06-16:42
P010129444401	2019.05.06-17:01
P010129446401	2019.05.06-17:07
P010129448501	2019.05.06-17:38
P010129452601	2019.05.06-17:39
P010129439401	2019.05.06-17:40
P010129450601	2019.05.06-17:45
P010129442601	2019.05.06-17:50
P010129435601	2019.05.06-17:51
P010129444501	2019.05.06-17:53
P010129446501	2019.05.06-18:02
P010129441501	2019.05.06-18:11
P010129448601	2019.05.06-18:57
P010129452701	2019.05.06-19:13
P010129439501	2019.05.06-19:24
P010129450701	2019.05.06-19:29
P010129435701	2019.05.06-19:30
P010129442701	2019.05.06-19:31
P010129444601	2019.05.06-19:33
P010129441601	2019.05.06-19:43
P010129446601	2019.05.06-19:44
P010129448701	2019.05.06-20:01
P010129452801	2019.05.06-20:40
P010129439601	2019.05.06-21:02
P010129442801	2019.05.06-21:03
P010129454701	2019.05.06-21:04
P010129444701	2019.05.06-21:05
P010129450801	2019.05.06-21:08
P010129441701	2019.05.06-21:10
P010129446701	2019.05.06-21:15
P010129448801	2019.05.06-21:20
P010129452901	2019.05.06-22:03
P010129442901	2019.05.06-22:27
P010129439701	2019.05.06-22:35
P010129444801	2019.05.06-22:56
P010129454801	2019.05.06-22:56
P010129446801	2019.05.06-22:59
P010129441801	2019.05.06-23:01
P010129450901	2019.05.06-23:06
P010129448901	2019.05.06-23:09
P010129456801	2019.05.06-23:10
P010129453001	2019.05.06-23:15
P010129443001	2019.05.06-23:20
P010129439801	2019.05.06-23:22
P010129446901	2019.05.07-00:44
P010129454901	2019.05.07-00:59
P010129441901	2019.05.07-01:05
P010129449001	2019.05.07-01:09
P010129453101	2019.05.07-01:14
P010129456901	2019.05.07-01:17
P010129439901	2019.05.07-01:19
P010129445001	2019.05.07-01:28
P010129447001	2019.05.07-01:31
P010129455001	2019.05.07-01:41
P010129445101	2019.05.07-01:42
P010129449101	2019.05.07-01:50
P010129453201	2019.05.07-01:56
P010129443201	2019.05.07-02:09
P010129458901	2019.05.07-02:15
P010129445201	2019.05.07-02:16
P010129447101	2019.05.07-02:19
P010129457001	2019.05.07-02:19
P010129455101	2019.05.07-02:30
P010129461001	2019.05.07-02:31
P010129449201	2019.05.07-02:32
P010129453301	2019.05.07-02:32
P010129445301	2019.05.07-02:36
P010129451301	2019.05.07-02:49
P010129459001	2019.05.07-02:58
P010129443301	2019.05.07-02:58
P010129445401	2019.05.07-03:04
P010129457101	2019.05.07-03:19
P010129447201	2019.05.07-03:19
P010129453401	2019.05.07-04:12
P010129445501	2019.05.07-04:15
P010129455201	2019.05.07-04:21
P010129449301	2019.05.07-04:31
P010129451401	2019.05.07-04:37
P010129461101	2019.05.07-04:41
P010129459101	2019.05.07-05:00
P010129443401	2019.05.07-05:07
P010129457201	2019.05.07-05:10
P010129445601	2019.05.07-05:18
P010129447301	2019.05.07-05:39
P010129453501	2019.05.07-05:55
P010129455301	2019.05.07-06:07
P010129451501	2019.05.07-06:13
P010129449401	2019.05.07-06:27
P010129459201	2019.05.07-06:35
P010129445701	2019.05.07-06:38
P010129443501	2019.05.07-06:44
P010129461201	2019.05.07-06:45
P010129447401	2019.05.07-06:59
P010129453601	2019.05.07-07:02
P010129451601	2019.05.07-07:05
P010129449501	2019.05.07-07:13
P010129459301	2019.05.07-07:27
P010129443601	2019.05.07-07:27
P010129457401	2019.05.07-07:28
P010129461301	2019.05.07-07:37
P010129455501	2019.05.07-07:53
P010129447501	2019.05.07-07:55
P010129445901	2019.05.07-07:57
P010129451701	2019.05.07-08:00
P010129453701	2019.05.07-08:17
P010129449601	2019.05.07-08:29
P010129457501	2019.05.07-08:47
P010129443701	2019.05.07-09:27
P010129459401	2019.05.07-09:28
P010129461401	2019.05.07-09:31
P010129455601	2019.05.07-09:52
P010129446001	2019.05.07-09:55
P010129451801	2019.05.07-10:03
P010129447601	2019.05.07-10:06
P010129457601	2019.05.07-10:13
P010129453801	2019.05.07-10:17
P010129449701	2019.05.07-10:17
P010129459501	2019.05.07-10:22
P010129461501	2019.05.07-10:26
P010129443801	2019.05.07-10:33
P010129446101	2019.05.07-10:44
P010129451901	2019.05.07-10:48
P010129455701	2019.05.07-11:00
P010129457701	2019.05.07-11:01
